Dataset,Parent figure,Title,x,y,Data source,xmin,xmax,ymin,ymax,Page,Model,Latex.caption,Notes
1.17.4,1.17,Compositions by Mozart (quartic),Year,Number of compositions,Giegling et al. (1964),1761,1806,0,1600,47,Quartic,Fitting Mozart's oeuvre into growth curves: symmetrical (a)and asymmetrical (b) logistic functions and quadratic (c) and quartic (d) regression all have high degrees of fit ($R^2=0.99$) but predict substantially different long-term outcomes for the year 1806 when Mozart (who died in 1791) would have been 50 years old. Compositions by date listed in Giegling et al. (1964).,Subfigure of 1.17
1.20,,Battery energy densities,Year,Energy density (Wh/kg),Zu and Li (2011) and subsequent news reports.,1900,2050,0,600,51,Logistic,"Logistic growth trajectory (inflection point in 2024, asymptote at 625.5 Wh/kg) of battery energy densities, 1900-2017. Plotted from data in Zu and Li (2011) and from subsequent news reports. ",
2.2,,Growth of Escherichia coli O157:H7,Time (hours),Bacterial cell density ,Buchanan et al. (1997),0,60,0,12,80,Logistic,Logistic growth of Escherichia coli O157:H7. Plotted from data in Buchanan et al. (1997).,
2.9,,Average American wheat yields,Year,US wheat yield (bushels/acre),USDA (2017a),1866,2026,0,50,119,Logistic,"Logistic growth (inflection point in 1970, asymptote at 46.5 bushels/acre) of average American wheat yields, 1866-2015. Data from USDA (2017a).",
2.12,,Average American grain corn yields,Year ,US corn yield (bushels/acre),USDA (2017a),1866,2046,0,200,124,Logistic,"Logistic growth trajectory (inflection point in 1988, asymptote at 194.1 bushels/acre) of average American grain corn yields, 1866-2015. Data from USDA (2017a).",
2.19,,Average height of 18-year-old Japanese males,Year,Height (cm),SB (1996),1900,2020,158,174,166,Logistic,"Average height of 18-year-old Japanese males, 1900-2020. Plotted from data in SB (1996). Logistic curve has $R^2$ of 0.98, inflection point in 1961, and asymptote height is 172.8 cm. ",
2.20,,Obesity prevalence in the US,Year,Obesity prevalence (%),Ogden et al. (2012) and The State of Obesity (2017),1960,2020,0,40,170,Logistic,Growing prevalence of obesity in the US. Data from Ogden et al. (2012) and The State of Obesity (2012). The logistic curve had its inflection point in 1993 and its asymptote is at 37.5\% of the total population.,
3.2,,Maximum water turbine capacities ,Year,Maximum capacity of water turbines (MW),Smil (2008) and ICOLD (2017),1895,2035,0,1000,181,Logistic,Logistic growth of maximum water turbine capacities since 1895; inflection point was in 1963. Data from Smil (2008) and ICOLD (2017).,
3.5,,Displacement of transatlantic commercial liners,Year,Maximum displacement (t),Smil (2017a),1849,1969,0,90000,191,Logistic,"Logistic curve of the maximum displacement of transatlantic commercial liners, 1849-1961 (Smil 2017a).","Figure in book highlights individual liners: Great Britain (1849), Titanic (1912), Queen Mary (1934), United States (1952), France (1961)"
3.6,,Maximum steam turbine capacities,Year,Maximum capacity of steam turbines (MW),Smil (2003) and Smil (2017a),1884,2024,0,2000,195,Logistic,"Growth of maximum steam turbine capacities since 1884. Five-parameter [sic] logistic curve, inflection year in 1954, asymptote has been already reached. Data from Smil (2003, 2017a).","Caption states five-parameter logistic, but text state four-parameter logistic."
3.7,,Efficiency of US thermal electricity-generating plants,Year,Average efficiency of US thermal electricity generation (%),Schurr and Netschert (1960) and USEIA (2016),1900,2020,0,40,196,Logistic,"Logistic growth (inflection year in 1933, asymptote at 36.9\%) of average efficiency of US thermal electricity-generating plants. Data from Schurr and Netschert (1960) and USEIA (2016).",
3.9,,Power of US passenger vehicles,Year,Average power of US cars (kW),Smil (2014b) and USEPA (2016b),1900,2020,0,180,200,Linear,"Linear growth of average power of US passenger vehicles, 1903-2020. Data from Smil (2014b) and USEPA (2016b).",
3.11,,Thrust of jet engines,Year,Maximum thrust of jet engines (kN),Smil (2010b),1950,2010,0,600,209,Linear,Linear fit of the maximum thrust of jet engines. Data from Smil (2010b).,
3.12,,Bypass ratio in commercial jetliners,Year,Bypass ratio of jet engines,Engine specifications and Ballal and Zelina (2003),1960,2030,0,18,210,Linear,"Evolution of the bypass ratio in commercial jetliners. Data from specifications for GE, P\&W, and Rolls-Royce engines and from Ballal and Zelina (2003). Maximum ratios have seen linear growth that averaged about 2.2 units per decade.",
3.16,,Share of power in US manufacturing supplied by electric motors,Year,Share of electricity in US manufacturing (%),Daugherty (1927) and Schurr et al. (1990),1900,1950,0,100,221,Logistic,"Logistic fit (inflection point in 1916, asymptote of 89.9\%) of the share of power in US manufacturing supplied by electric motors, 1909-1950. Data from Daugherty (1927) and Schurr et al. (1990).",
4.6,yes,,,,,,,,,,,Logistic curve and polynomial regression of the growth of maximum skyscraper height. Data from Landau and Condit (1996) and Skyscraper Center (2017).,
4.6.1,4.6,Skyscraper heights,Year,Maximum skyscraper height (m),Landau and Condit (1996) and Skyscraper Center (2017),1885,2045,0,2000,245,Exponential,Logistic curve of the growth of maximum skyscraper height. Data from Landau and Condit (1996) and Skyscraper Center (2017).,Logistic curve in early stages - fails with SSfpl
4.6.2,4.6,Skyscraper heights,Year,Maximum skyscraper height (m),Landau and Condit (1996) and Skyscraper Center (2017),1885,2025,0,1200,245,Quartic,Polynomial regression of the growth of maximum skyscraper height. Data from Landau and Condit (1996) and Skyscraper Center (2017). ,Subfigure of 4.6. I believe quartic based on spreadsheet provided
4.7,,Buildings taller than 200m,Year,Number of buildings exceeding 200m,Emporis (2017),1930,2020,0,1400,247,Exponential,Growth of the total number of buildings taller than 200m. Logistic curve in its early stage of ascent. Data from Emporis (2017).,Logistic curve in early stages - fails with SSfpl
4.8,,Area of American houses,Year,Average area of US houses (m^2),Wilson and Boehland (2005) and USCB (2016a),1900,2060,0,300,250,Logistic,Growth of the average area of American houses since 1900. Logistic curve had the inflection year in 1979 and its asymptote is about 260 m$^2$. Data from Wilson and Boehland (2005) and USCB (2016a).,
4.9,,Longest railway tunnels,Year,Maximum length of railway tunnels (km),Beaver (1972) and Onoda (2015),1840,2020,0,70,256,Logistic,"Growth of the longest railway tunnels, 1840-2020. Data mostly from Beaver (1972) and Onoda (2015).",
4.10,,Longest suspension bridges,Year,Maximum length of suspension bridges (km),History of Bridges (2017),1825,2075,0,3,258,Logistic,Growth of the longest suspension bridges since 1825. Data mostly from History of Bridges (2017).,
4.11,,German autobahns,Year,Total length of Autobahnen (km),Zeller (2007) and Bundesamt für Statistik,1935,2015,0,14000,260,Logistic,"Growth curve of German Autobahnen, 1935-2015. Data from Zeller (2007) and Bundesamt für Statistik.",
4.12,,Paved US roads,Year,Total length of US paved roads (million miles),USBC (1975) and subsequent volumes of US Statistical Abstract,1905,2045,0,3.5,261,Logistic,Growth of the total length of paved US roads since 1905. Plotted from data in USBC (1975) and subsequent volumes of US Statistical Abstract.,
4.13,,Highways in China,Year,Total length of China's highways (million km),NBS (2000) and NBS (2016),1950,2040,0,7,262,Logistic,"Growth of the total length of highways in China. Logistic curve with the inflection point in 2007 and asymptote about 30\% above the 2015 total. Data from NBS (2000, 2016).",
4.14,yes,,,,,,,,,,,"Growth curves of the total length of railroads in the US, UK, France, and Japan with some short-term extensions. Plotted from data in Mitchel (1998). ",
4.14.1,4.14,Railroads (US),Year,Total length of US railroads (thousand km),Mitchell (1998),1830,2030,0,480,263,Quartic,Growth curves of the total length of railroads in the US. Plotted from data in Mitchell (1998).,Subfigure of 4.14. 
4.14.2,4.14,Railroads (UK),Year,Total length of UK railroads (thousand km),Mitchell (1998),1825,2025,0,40,263,Quartic,Growth curves of the total length of railroads in the UK. Plotted from data in Mitchell (1998).,Subfigure of 4.14
4.14.3,4.14,Railroads (France),Year,Total length of French railroads (thousand km),Mitchell (1998),1830,2010,0,45,263,Quartic,Growth curves of the total length of railroads in France. Plotted from data in Mitchell (1998).,Subfigure of 4.14
4.14.4,4.14,Railroads (Japan),Year,Total length of Japan's railroads (thousand km),Mitchell (1998),1872,2012,0,25,263,Quartic,Growth curves of the total length of railroads in Japan. Plotted from data in Mitchell (1998).,Subfigure of 4.14
4.17,,Passengers on Japan's trains,Year,Railroad passengers (billion/year),SB (1996) and SB (2017a),1874,2014,0,25,278,Logistic,"Passengers on Japan's trains, 1874-2014. Plotted from data available at SB (1996, 2017a). Logistic curve with the inflection year in 1958 and with the 2015 total only a fraction of 1 percent below the asymptotic level.",
4.18,,Passenger capacity of commercial airplans,Year,Maximum passenger capacity ,Individual airplane specifications,1920,2020,0,600,282,Logistic,"Logistic fit of the maximum passenger capacity of commercial airplans: from KLM's de Havilland DH.16 (four passengers) in 1920 to Airbus 380 (544 passengers in three classes, 868 maximum) in 2007. Plotted from individual airplane specifications.",
4.19,,Global civil aviation traffic,Year,Passengers carried (trillion passenger-kilometers / year),ICAO (2016) and earlier annual reports,1930,2020,0,7,283,Exponential,Growth of global civil aviation traffic (domestic and international flights) measured in terms of passenger-kilometers. Logistic curve in its early stage indicates further substantial growth in the decades ahead. Data from ICAO (2016) and from earlier annual reports. ,Logistic curve in early stages - fails with SSfpl
4.24,,Mobile phone sales,Year,Sales of mobile phones (million / year),GSMArena (2017),1997,2027,0,2500,296,Logistic,Growth of annual sales of all mobile phones since 1997. The trajectory fits a logistic curve that inflected in 2008 and that is now approaching its asymptotic value. Data from GSMArena (2017).,
4.25,,Smartphone sales,Year,Sales of smartphones (million / year),Canalys (2007) and Meeker (2017),2005,2019,0,1800,297,Logistic,The growth of annual sales of smartphones since the year 2005 has followed perfectly a logistic curve with the inflection year in 2012 and with the asymptote less than 10\% above 2016 sales. Data from Canalys (2007) and Meeker (2017).,
4.26,,Internet hosts,Year,Internet hosts (million),ISC (2017),1993,2038,0,1400,299,Logistic,The post-1993 growth of Internet hosts has followed a logistic curve with the inflection year in 2008 and with the asymptotic value less than 10\% above the 2017 total. Data from ISC (2017). ,Same data as 4.27
4.27,,Internet hosts,Year,Internet hosts (million),ISC (2017),1993,2038,0,1200,299,Gaussian,The growth of Internet hosts also fits a Gaussian curve peaking in 2016 and returning to negligible values before 2040. Such a development seems quite unlikely - unless a new mode of hosting takes over. Data from ISC (2017).,Same data as 4.26
4.28,,Internet traffic,Year,Global internet traffic (TB / s),CISCO (2017),1992,2023,0,800,300,Exponential,Post-1992 growth of Internet traffic in TB/s fits a logistic curve in its early stages of growth indicating further substantial gains in decades ahead. Data from CISCO (2017).,Logistic curve in early stages - fails with SSfpl. Smil fits asymmetric logistic
5.5,,Global population growth 1700-2500,Year,World population (billion),,1700,2500,0,50,332,Logistic,"Global population growth, 1700-2500. Logistic curve with a distant inflection point (in 2105) and asymptote of 45.2 billion. ",No data source
5.6,,Global share of urban population 1800-2050,Year,Global share of urban population (%),Various UN statistics,1800,2050,0,70,337,Logistic,"Global share of the urban population, 1800-2050. Plotted from various UN statistics. Logistic curve with the inflection point in 1969 and asymptote of 70.9\%.",
5.7,,Urban population in the US since 1790,Year,US share of urban population (%),USBC (1975) and subsequent volumes of US Statistical Abstract,1790,2040,0,100,338,Logistic,"Share of the urban population in the US since 1790. Plotted from data in USBC (1975) and subsequent volumes of US Statistical Abstract. With the logistic curve inflected already in 1910, its asymptotic value is 87.2\%.",
5.9,yes,,,,,,,,,,,Tokyo's population within prefectural boundaries (1900-2020) - a logistic curve with the inflection point in 1932 and asymptote at 13.8 million - and within the Tokyo Major Metropolitan Region since 1920: logistic curve infelction point in 1971 and asymptote at 38.8 million. Data from SB (1996) and TMG (2017). ,
5.9.1,5.9,Tokyo's population: withinprefectural boundaries,Year,Population (million),SB (1996),1900,2020,0,16,349,Logistic,Tokyo's population within prefectural boundaries (1900-2020) - a logistic curve with the inflection point in 1932 and asymptote at 13.8 million - and within the Tokyo Major Metropolitan Region since 1920: logistic curve infelction point in 1971 and asymptote at 38.8 million. Data from SB (1996) and TMG (2017). ,Subfigure of 5.9
5.9.2,5.9,Tokyo's population: within Major Metropolitan Region,Year,Population (million),TMG (2017),1920,2040,0,45,349,Logistic,Tokyo's population within prefectural boundaries (1900-2020) - a logistic curve with the inflection point in 1932 and asymptote at 13.8 million - and within the Tokyo Major Metropolitan Region since 1920: logistic curve infelction point in 1971 and asymptote at 38.8 million. Data from SB (1996) and TMG (2017). ,Subfigure of 5.9
5.11,,"Roman republic and empire, 509 BCE-117 CE and extrapolation",Year,Area (million km^2),Taagepera (1979) and Smil's area measurements based on Talbert (2000),0,900,0,6,372,Logistic,"Growth of the Roman republic and empire, 509 BCE-117 CE and the implied future trajectory based on a logistic fit. Data from Taagepera (1979) and author's area measurements based on Talbert (2000). Year zero is 509 BCE. ",
5.12,,"Roman republic and empire, 509 BCE-1453 CE",Year,Area (million km^2),Taagepera (1979) and Smil's area measurements based on Talbert (2000),0,1800,0,5,373,Gaussian,"Growth of the Roman republic and empire and the gradual retreat of Byzantium, 509 BCE-1453 CE. Data from Taagepera (1979) and author's area measurements based on Talbert (2000). Year zero is 509 BCE. ",
5.13,yes,,,,,,,,,,,Growth of global primary energy supply (including traditional biomass fuels) and fossil fuel and primary electricity supply since 1800. Data from Smil (2017b). ,
5.13.1,5.13,Global primary energy supply since 1800,Year,Primary energy supply (EJ/year),Smil (2017b),1800,2100,0,800,379,Logistic,Growth of global primary energy supply (including traditional biomass fuels) and fossil fuel and primary electricity supply since 1800. Data from Smil (2017b). ,Subfigure of 5.13.
5.13.2,5.13,Fossil fuel and primary electricity supply,Year,Primary energy supply (EJ/year),Smil (2017b),1800,2050,0,700,379,Logistic,Growth of global primary energy supply (including traditional biomass fuels) and fossil fuel and primary electricity supply since 1800. Data from Smil (2017b). ,"Subfigure of 5.13. Typo in y-axis in book (""engery"" [sic])"
5.14,,Crude oil production since 1870,Year,Crude oil production (EJ/year),Smil (2017b),1870,2050,0,180,380,Logistic,Growth of global crude oil production since 1870. Data from Smil (2017b).,
5.15,,Natural gas extraction since 1870,Year,Natural gas production (EJ/year),Smil (2017b),1870,2050,0,180,381,Logistic,Growth of global natural gas extraction since 1870. Data from Smil (2017b).,
5.16,,Coal production since 1800,Year,Coal production (EJ/year),Smil (2017b),1800,2050,0,300,382,Exponential,"Growth of global coal produciton since 1800. While the two logistic curves for crude oil and natural gas provide a highly plausible indication of future development, coal's indicated trajectory will almost certainly diverge from the indicated trend. Data from Smil (2017b). ","Logistic in book, but I fit exponential"
5.17,,Electricity generation since 1900,Year,Electricity generation (PWh/year),Smil (2017b) and BP (2017),1900,2040,0,40,383,Logistic,Growth of global electricity generation since 1900. Data from Smil (2017b) and BP (2017). ,
5.18,,Hydroelectricity generation since 1900,Year,Hydroelectricity generation (TWh/year),Smil (2017b) and BP (2017),1900,2040,0,7000,384,Logistic,Growth of global hydroelectricity generation since 1900. Data from Smil (2017b) and BP (2017).,
5.19,,Nuclear generation since 1960,Year,Nuclear electricity generation (TWh/year),Smil (2017b) and BP (2017),1960,2040,0,3000,385,Logistic,Growth of global nuclear generation since 1960. Data from Smil (2017b) and BP (2017).,
5.20,,Global cropland 1700-2050,Year,Area (million ha),PBL (2010) and FAO (2018),1700,2050,0,1800,387,Logistic,"Growth of global cropland, 1700-2050. Logistic curve had its inflection point in 1876 and the total is now less than 5\% below the asymptote. Data from PBL (2010) and FAO (2018).",
5.21,,US cropland 1700-2050,Year,Area (million ha),PBL (2010) and FAO (2018),1700,2050,0,250,387,Logistic,"Growth of US cropland, 1700-2050. Inflection point came already in 1876 and the recently cultivated area is very close to the asymptotic level. Data from PBL (2010) and FAO (2018).",
5.22,,Global grasslands ,Year,Area (million ha),PBL (2010) and FAO (2018),1700,2050,0,4000,388,Logistic,Growth of global grasslands. The inflection year was in 1923 and the total area is now less than 10\% from the asymptotic level. Data from PBL (2010) and FAO (2018).,
5.23,,Fertilizer production since 1913,Year,Production (Mt N/year),Smil (2001) and FAO (2018),1913,2033,0,140,390,Logistic,Worldwide production of nitrogenous fertilizers since 1913. Another logistic curve that is very close to its asymptote. Data from Smil (2001) and FAO (2018).,
5.24,,Staple grain crop harvest since 1900,Year,Production (Gt/year),Smil (2013a) and FAO (2018),1900,2040,0,3.5,391,Logistic,Global harvest of staple grain crops since 1900. Data from Smil (2013a) and FAO (2018).,
5.28,,Semiconductor sales 1976-2016,Year,Wafer shipments ($ billion / year),SIA (2018),1976,2016,0,400,398,Logistic,"Logistic curve of worldwide semiconductor sales, 1976-2016. Plotted from data in SIA (2017).",
5.29,yes,,,,,,,,,,,"Growth and logistic outlook of GDP (expression in international \$2011) in four major economies - France, Japan, and the US since 1870, and China since 1950. Data from World Bank (2018).",
5.29.1,5.29,GDP (France),Year,GDP ($ 2011 billion),World Bank (2018),1870,2050,0,3000,412,Logistic,"Growth and logistic outlook of GDP (expression in international \$2011) in four major economies - France, Japan, and the US since 1870, and China since 1950. Data from World Bank (2018).",Subfigure of 5.29
5.29.2,5.29,GDP (Japan),Year,GDP ($ 2011 billion),World Bank (2018),1870,2050,0,5000,412,Logistic,"Growth and logistic outlook of GDP (expression in international \$2011) in four major economies - France, Japan, and the US since 1870, and China since 1950. Data from World Bank (2018).",Subfigure of 5.29
5.29.3,5.29,GDP (US),Year,GDP ($ 2011 billion),World Bank (2018),1870,2050,0,25000,412,Logistic,"Growth and logistic outlook of GDP (expression in international \$2011) in four major economies - France, Japan, and the US since 1870, and China since 1950. Data from World Bank (2018).",Subfigure of 5.29
5.29.4,5.29,GDP (China),Year,GDP ($ 2011 billion),World Bank (2018),1950,2050,0,45000,412,Logistic,"Growth and logistic outlook of GDP (expression in international \$2011) in four major economies - France, Japan, and the US since 1870, and China since 1950. Data from World Bank (2018).",Subfigure of 5.29
5.30,yes,,,,,,,,,,,"Growth of per capita income in the US, Japan, and China since 1950. Data from World Bank (2018).",
5.30.1,5.30,Per capita income (US),Year,Per capita income ($ 2011 thousand),World Bank (2018),1950,2050,0,80,418,Logistic,"Growth of per capita income in the US, Japan, and China since 1950. Data from World Bank (2018).",Subfigure of 5.30
5.30.2,5.30,Per capita income (Japan),Year,Per capita income ($ 2011 thousand),World Bank (2018),1950,2050,0,50,418,Logistic,"Growth of per capita income in the US, Japan, and China since 1950. Data from World Bank (2018).",Subfigure of 5.30
5.30.3,5.30,Per capita income (China),Year,Per capita income ($ 2011 thousand),World Bank (2018),1950,2050,0,30,418,Logistic,"Growth of per capita income in the US, Japan, and China since 1950. Data from World Bank (2018).",Subfigure of 5.30
5.31,,International trade contribution to global GDP,Year,Trade's share of global GDP (%),Klasing and Milionis (2014) and World Bank (2018),1870,2050,0,70,431,Logistic,Growing shares of international trade in the world economic product since 1870. Data from Klasing and Milionis (2014) and World Bank (2018).,
6.1,,US crude oil extraction forecast ,Year,Crude oil production (million barrels),USBC (1975) and USEIA (2019),1900,2020,0,4000,452,Gaussian,US crude oil extraction forecast based on the 1900-1980 trajectory. Data from USBC (1975) and USEIA (2019). ,Has actual 1900-2018 performance as second subfigure in book. 
6.2,yes,,,,,,,,,,,Population of Greater London: best fits based on 1801-1981 (a) and 1801-2001 (b) totals. Data from Morrey (1978) and GLA (2015). ,
6.2.1,6.2,Population of Greater London (a),Year,Population (million),Morrey (1978) and GLA (2015).,1801,2001,0,10,453,Gaussian,Population of Greater London: best fits based on 1801-1981 (a) and 1801-2001 (b) totals. Data from Morrey (1978) and GLA (2015). ,Subfigure of 6.2
6.2.2,6.2,Population of Greater London (b),Year,Population (million),Morrey (1978) and GLA (2015).,1801,2001,0,10,453,Logistic,Population of Greater London: best fits based on 1801-1981 (a) and 1801-2001 (b) totals. Data from Morrey (1978) and GLA (2015). ,Subfigure of 6.2
6.7,,British steel output,Year,Steel production (Mt/year),https://visual.ons.gov.uk/the-british-steel-industry-since-the-1970s,1900,2020,0,30,464,Gaussian,"British steel output, 1900-2020. Fluctuating output reflects economic downturns, expansions, and wars and hence the normal curve is not a particularly close fit ($R^2$ of 0.79). The production peak came in1970, with the 2015 output below the level attained first in 1936. Data from https://visual.ons.gov.uk/the-british-steel-industry-since-the-1970s",
6.9,,American draft horses,Year,Number of US horses (million),USBC (1975),1850,1970,0,25,466,Gaussian,Number of American draft horses between 1850 and 1970 conforms closely to the normal curve trajectory. Data from USBC (1975). ,
6.10,,US steam locomotives,Year,Number of US steam locomotives (thousand),USBC (1975),1850,1970,0,80,467,Gaussian,Number of US steam locomotives: a very good Gaussian fit for the nine decades between 1876 and 1967. Data from USBC (1975). ,
6.11,,US passenger car fleet,Year,Number of US passenger vehicles (million),USBC (1975) and subsequent volumes of US Statistical Abstract,1900,2100,0,250,467,Gaussian,The historical growth of the US passenger car fleet can be fitted quite well into a normal curve peaking around 2030. Data from USBC (1975) and from subsequent volumes of the US Statistical Abstract. ,
